Date ;,"Wednesday, May 28, 2025",,,GHAZI HOLDINGS (Actual Sale),,,,,,,,,,,,,,,,,,,,,,,,
Brand Name,,MORVEN,CLASSIC,DIPLO,"RED 
&
WHITE","MARLBORO 
GOLD","CRAFTED BY 
MLB",Parliament,"Cool Mint
2 DOT
6 MG","Cool Mint
3 DOT
11 MG","Cool Mint
5 DOT
14 MG","Sour Ruby
2 DOT
6 MG","Sour Ruby
3 DOT
11MG","Cool Blue Berry
2 DOT
6 MG","Cool Blue Berry
3 DOT
11 MG","Fresh Mint
6 MG","Fresh Mint
11 MG","Cool Water Melon
6MG","Cool Water Melon
11MG",Total,,,,,,,,
,Total Cash," 86,775 "," 4,025 "," 9,021 "," 15,243 "," 112,833 ", 790 , -   , 685.70 , 829.10 , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 230,201.795 ",,,,,,,,
0,Whole Sale,,,,,,,,,,,,,,,,,,, -   , Petrol ,, Foils ,, -   ,,, -   
,W Scheme,,,,,,,,,,,,,,,,,,, -   ,,,,,,,,
,Retail,,,,,,,,,,,,,,,,,,, -   , -   ,, -   ,, MOTOR CYCLE ,,,
,T.O  (TK),,,,,,,,,,,,,,,,,,, -   ,,,,,,,,
,Foils,,,,,,,,,,,,,,,,,,, -   , UBL+Jazz Cash ,, -   ,, -   ,,,
,C. Discount,,,,,,,,,,,,,,,,,,, -   ,,,,,,,,
,Total Cash, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,
0,Whole Sale,,,,,,,,,,,,,,,,,,, -   , Petrol ,, Foils ,, -   ,,, -   
,W Scheme,,,,,,,,,,,,,,,,,,, -   ,,,,,,,,
,Retail,,,,,,,,,,,,,,,,,,, -   , -   ,, -   ,, MOTOR CYCLE ,,,
,T.O  (TK),,,,,,,,,,,,,,,,,,, -   ,,,,,,,,
,Foils,,,,,,,,,,,,,,,,,,, -   , UBL+Jazz Cash ,, -   ,, -   ,,,
,C. Discount,,,,,,,,,,,,,,,,,,, -   ,,,,,,,,
,Total Cash, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,
Other Sale,Whole Sale, 10.000 ,,, 10.000 ,,,,,,,,,,,,,,, 20.000 , Petrol ,, Foils ,, Baname ,,, -   
,Cash," 115,200.000 ", -   , -   ," 94,899.400 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 210,099.400 ", -   ," 1,579 ", -   , 700 , -   ," 121,490 ",,
Total,Whole Sale, 10.000 , -   , -   , 10.000 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 20.000 , -   ,, -   ,, MOTOR CYCLE ,,,
,W Scheme, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 50 , -   , -   ,,
,Retail, 21.800 , 3.900 , 2.000 , 4.000 , 4.300 , 0.740 , -   , 0.100 , 0.100 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 36.940 , UBL+Jazz Cash ,, -   ,, -   ,,,
,T.O  (TK), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 61,430 ", -   , -   , -   , -   ,,
,Foils, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,
,C. Discount, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , Offoce Expance ,,,,, Total ,," 7,761,207.478 "
,Total Cash," 367,426.000 "," 31,393.401 "," 18,042.000 "," 133,007.400 "," 115,519.500 "," 5,846.000 ", -   , 685.700 , 829.100 , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 672,749.101 ",,,,,,5000,,0
Total Sale,, 31.800 , 3.900 , 2.000 , 14.000 , 4.300 , 0.740 , -   , 0.100 , 0.100 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 56.940 ,,,,,,1000,,0
Closing Stock,, 60.400 , 4.200 , 11.600 , 5.940 , 7.020 , 5.260 , -   , (1.460), 0.160 , 0.080 , 1.960 , 1.400 , 1.500 , 0.420 , 0.020 , 0.200 , 0.280 , 0.620 , 99.600 ,,,,,,500,,0
Others Lifting,,,,,,,,,,,,,,,,,,,, -   ,,,,,,100,,0
Closing Stock,, 60.400 , 4.200 , 11.600 , 5.940 , 7.020 , 5.260 , -   , (1.460), 0.160 , 0.080 , 1.960 , 1.400 , 1.500 , 0.420 , 0.020 , 0.200 , 0.280 , 0.620 , 99.600 ,,,,,,50,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,20,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,10,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,Total,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,Coin,, -    
,,,,,,,,,,,,,,,,,,,,,,,,,,Total,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,Balance,," 7,761,207.478 "
